1921:mck,ERROR
1921:ric,ERROR
1921:whe,ERROR
1921:sen,Dan Ahern,Alec Anderson,George Beyers,Johnny Bleier,Benny Boynton,Pete Calac,Joe Coster,Billy Crouch,Perry Dowrick,Patsy Gerardi,Johnny Gilroy,Tom Gormley,Joe Guyon,Johnnie Hudson,Sam Kaplan,Dutch Leighty,Red Litkus,Mickey Livers,Don McCarthy,Cy McDonald,Gordon Patterson,Metz Smeach,Jack Sullivan,Buff Turner,Sam Turner,Pong Unitas,Ed Van Meter,Gene Vidal,Bullets Walson
1922:chl,ERROR
1922:ptq,ERROR
1922:chi,Hunk Anderson,Hugh Blacklock,George Bolan,Bourbon Bondurant,Harry Englund,Hec Garvey,George Halas,Carl Hanke,Ed Healey,Joe LaFleur,Jake Lanum,Ojay Larson,Pard Pearce,Ralph Scott,Russ Smith,Dutch Sternaman,Joey Sternaman,Pete Stinchcomb,Laurie Walquist
1922:cst,ERROR
1922:ely,ERROR
1922:abu,ERROR
1922:log,ERROR
1922:stp,ERROR
1922:gb,ERROR
1922:dhr,ERROR
1922:akr,Marty Beck,Scotty Bierce,Untz Brewer,Charlie Copley,Bunny Corcoran,Carl Cramer,Red Daum,Jim Flower,Al Jolley,Rip King,Walt Kreinheder,Walt LeJeune,Leo McCausland,Joe Mills,Ray Neal,Al Nesser,Ed Sauer,Paul Sheeks,Bob Spiers,Cliff Steele,Tillie Voss
1922:ftw,ERROR
1922:bff,Ockie Anderson,Bill Brace,Herb Dieter,Buck Gavin,Gus Goetz,Charlie Guy,Tommy Hughitt,Bill Kibler,Glenn Knack,Waddy Kuehl,Jim Laird,Frank Morrissey,Jim Morrow,Bob Nash,Bob Rawlings,Johnny Scott,Frank Spellacy,Carl Thomas,Luke Urban,Jim Wilson,Swede Youngstrom
1922:tlm,ERROR
1922:zan,ERROR
1922:ccl,ERROR
1922:oor,Reggie Attache,E. Bobadash,Leon Boutwell,Fred Broker,Elmer Busch,Pete Calac,Dick Deer Slayer,Xavier Downwind,Joe Guyon,Bob Hill,Buck Jones,Nick Lassa,Joe Little Twig,Ted Lone Wolf,Ed Nason,Stillwell Saunooke,Ted St. Germaine,Jim Thorpe,Baptiste Thunder,C.B. Winneshiek
1922:cbd,Don Batchelor,Arda Bowser,Bird Carroll,Guy Chamberlin,Doc Elliott,Tex Grigg,Russ Hathaway,Pete Henry,Jim Kendrick,Link Lyman,Johnny McQuade,Candy Miller,Bill Murrah,Duke Osborn,Harry Robb,Wooky Roberts,Norb Sacksteder,Ed Shaw,Lou Smyth,Dutch Speck,Tarzan Taylor,Ralph Waldsmith
1922:mun,ERROR
1922:cwp,ERROR
1922:rck,ERROR
1922:ari,ERROR
1922:mnn,Oscar Christianson,Ainer Cleve,Paul Des Jardien,Harold Erickson,Paul Flinn,Dutch Gaustad,Harry Gunderson,Bill Irgens,Reynold Kraft,George Kramer,John Madigan,Sam Mason,Joe Mattern,Harry Mehre,Louie Mohs,Marty Norton,Eddie Novak,Eber Sampson,Rudy Tersch,Otto Townsend
1922:tho,ERROR
1922:ng1,ERROR
1922:ton,ERROR
1922:wbu,ERROR
1922:wgc,ERROR
1922:gar,ERROR
1922:ros,ERROR
1922:rii,Lane Bridgford,Walt Brindley,Mike Casteel,Walt Clago,Jimmy Conzelman,Jug Earp,Buck Gavin,Ed Healey,Jerry Johnson,Jerry Jones,Emmett Keefe,Louie Kolls,Ollie Kraehe,Dutch Lauer,Dewey Lyle,Eddie Novak,Duke Slater,Eddie Usher,Tillie Voss,Obe Wenig
1922:ftp,ERROR
1922:mnm,ERROR
1922:cti,ERROR
1922:cnc,ERROR
1922:lan,ERROR
1922:lou,Chase Boldt,Austin Brunklacher,Harper Card,Joe Engelhard,Salem Ford,Dick Gibson,Edd Gregg,Herb Gruber,Austin Higgins,Jim Irwin,Whitey Jansing,Charlie Lanham,Max MacCollum,Brian McGrath,Eddie Meeks,Bill Netherton,Charlie Olmstead,Bo Otto,Bob Padan,Wilfred Smith,Jimmy Van Dyke,George Wanless,Hubert Wiggs
1922:kew,ERROR
1922:uap,ERROR
1922:atn,ERROR
1922:dti,ERROR
1922:rac,Buddy Baumann,George Berry,Art Braman,Moxie Dalton,Chuck Dressen,Al Elliott,Bob Foster,Carl George,Hank Gillo,Norm Glockson,Earl Gorman,Norbert Hayes,Fritz Heinisch,Jack Hueller,Jerry Johnson,Irv Langhoff,Frank Linnan,George McGill,Candy Miller,John Mintun,Jab Murray,Don Murry,Dudley Pearson,Elmer Rhenstrom,Fritz Roeseler,Vincent Shekleton,Wally Sieb,Whitey Woodin
1922:syr,ERROR
1922:wja,ERROR
1922:mut,ERROR
1922:ecg,Bourbon Bondurant,Slats Dalrymple,Winnie Denton,Vic Endress,Frank Fausch,Earl Goldsmith,Doc Gorman,Tiny Ladson,Pete Lauer,Chuck O'Neil,Jess Reno,Spencer Rork,Joe Sanders,Lew Skinner,Bill Slyker,Dick Spain,Adolph Spiegel,Steve Sullivan,Pete Wathen,Walker Whitehead,Travis Williams,Leon Winternheimer
1922:mil,John Alexander,Norris Armstrong,Norm Barry,Sid Bennett,Lyle Bigbee,Moose Cochran,Bill Collins,Jimmy Conzelman,Charlie Copley,Dinger Doane,Jim Dufft,Mickey Fallon,Budge Garrett,Al Greene,Emmett Keefe,Dick King,Bo McMillin,Ward Meese,George Mooney,Al Pierotti,Fritz Pollard,Earl Potteiger,Mike Purdy,Paul Robeson,George Seasholtz,Duke Slater,Steve Sullivan,Tommy Tomlin,Art Webb,Ben Winkelman
1922:col,Burl Atcheson,Jack Beckett,Chuck Carney,Gene Carroll,John Conley,Doc Davis,Hal Gaulke,Morris Glassman,Andy Gump,Ted Hopkins,Bob Karch,Earl Krieger,Joe Mulbarger,Frank Nesser,Bob Rapp,Walt Rogers,Emmett Ruh,Homer Ruh,Pete Schultz,Lee Snoots,Mark Stevenson,Don Wiper,Oscar Wolford,Paul Ziegler
1922:rch,Doc Alexander,Eddie Anderson,Bob Argus,Joe Bachmaier,Eddie Benz,Benny Boynton,Hal Clark,John Dooley,Walter French,Ralph Henricus,Dick King,Chris Lehrer,Darby Lowery,Frank Matteo,Paul Meyers,Harry Robertson,Spin Roy,Herm Sawyer,Hank Smith,Cliff Steele,Tiny Thompson,Larry Weltman,Mike Wilson,Ray Witter,Jimmy Woods,Chet Wynne
1922:day,Fay Abbott,Frank Bacon,Bobby Berns,Larry Dellinger,Harold Fenner,Bruno Haas,Russ Hathaway,Ken Huffine,Hobby Kinderdine,Al Mahrt,Tip O'Neill,Lou Partlow,Gus Redman,Dave Reese,Ed Sauer,Herb Sies,Dutch Thiele,Glenn Tidd,Jiggs Ullery
1922:clp,ERROR
1922:chb,ERROR
1922:cht,ERROR
1922:uti,ERROR
1922:ham, Anderson,George Berry,Teddy Besta,Ed Carman,Lloyd Cearing,Bill Giaver,Carl Hanke,Wally Hess,Oscar Knop,Dutch Kohl,Tony LaBissoniere,Paul Leatherman,Elliott Risley,Mace Roberts,Frank Rydzewski,John Shelburne,Bill Singleton,Steve Sullivan,Dave Tallant,Festus Tierney, Willert,Inky Williams
1922:pul,ERROR
1922:dtm,ERROR
1922:tol,Dunc Annan,Al Burgin,Marty Conrad,Cap Edwards,Guil Falcon,Hippo Gozdowski,Tom Holleran,Steamer Horning,Reno Jones,John Kellison,Tex Kelly,Jim Kendrick,Gus King,Truck Myers,Chuck O'Neil,Dwight Peabody,Leo Petree,Bob Phelan,Red Roberts,Tubby Roush,Buck Saunders,Jimmy Simpson,Herb Stein,Russ Stein,John Tanner,Festus Tierney,Rat Watson,Mac White
1922:mck,ERROR
1922:ric,ERROR
1922:whe,ERROR
1922:sen,ERROR
1923:chl,ERROR
1923:ptq,ERROR
